    Table  	Table Abbreviation	Column	 Normal title  	Type	Length	expression
AABREV  	AAB	ABREV	 Abréviation	A	15	
AABREV  	AAB	AUUID	 Identifiant unique	AUUID		
AABREV  	AAB	CREDATTIM	 Date et heure	ADATIM		
AABREV  	AAB	CREUSR	 Utilisateur	AUS		[AUS]CODUSR=[AAB]CREUSR
AABREV  	AAB	MOT	 Mot	A	30	
AABREV  	AAB	UPDDATTIM	 Date et heure	ADATIM		
AABREV  	AAB	UPDUSR	 Utilisateur	AUS		[AUS]CODUSR=[AAB]UPDUSR
ABANK  	ABN	AUUID	 Identifiant unique	AUUID		
ABANK  	ABN	BAN	 Banque	A	20	
ABANK  	ABN	BIC	 code BIC	A	11	
ABANK  	ABN	CREDAT	 Date créée	D		
ABANK  	ABN	CREDATTIM	 Date et heure	ADATIM		
ABANK  	ABN	CREUSR	 Utilisateur de création	AUS		[AUS]CODUSR=[ABN]CREUSR
ABANK  	ABN	CRY	 Comté	CRY		[TCY]TCY0=[ABN]CRY
ABANK  	ABN	PAB	 Banque payante	PAB		
ABANK  	ABN	PORBANCOD	 code bancaire	A	4	
ABANK  	ABN	UPDDAT	 Date de modification	D		
ABANK  	ABN	UPDDATTIM	 Date et heure	ADATIM		
ABANK  	ABN	UPDUSR	 Changer d'utilisateur	AUS		[AUS]CODUSR=[ABN]UPDUSR
ABANK  	ABN	VLYEND	 Date de fin de validité	D		
ABANK  	ABN	VLYSTR	 Date de début de validité	D		
ABATABT  	ABA	AUUID	 Identifiant unique	AUUID		
ABATABT  	ABA	CAL	 Calendrier	ABC		[ABC]ABC0=[ABA]CAL
ABATABT  	ABA	CNTERR	 Continuer si erreur	M	4	
ABATABT  	ABA	CODABT	 Code de tâche récurrente	ABA		[ABA]CODABT=[ABA]CODABT
ABATABT  	ABA	CREDAT	 Date créée	D		
ABATABT  	ABA	CREDATTIM	 Date et heure	ADATIM		
ABATABT  	ABA	CRETIM	 Temps	L	8	
ABATABT  	ABA	CREUSR	 Utilisateur de création	AUS		[AUS]CODUSR=[ABA]CREUSR
ABATABT  	ABA	DATDEP	 Date de base	M	15	
ABATABT  	ABA	DATFRM	 Formule	AFR	250	
ABATABT  	ABA	DATJRS	 Unité de temps	M	15	
ABATABT  	ABA	DATNBR	 Incrément	C	3	
ABATABT  	ABA	DATZON	 Champ Date	A	20	
ABATABT  	ABA	DJOUR	 Dernier rendez-vous	D		
