    Table  	Table Abbreviation	Key	Description	Duplicates
AABREV  	AAB	AAB0	ABREV	No
AABREV  	AAB	AAB1	MOT	No
ABANK  	ABN	ABN0	CRY+BAN	No
ABATABT  	ABA	CODABT	CODABT	No
ABATABTD  	ABD	ABD0	CODABT+CODTAC+LIG+NUM+PARAM	No
ABATABTD2  	A22	ABD0	CODABT+CODTAC+LIG+NUM	No
ABATCAL  	ABC	ABC0	COD	No
ABATGRP  	ABG	ABG0	CODGRP	No
ABATHOR  	ABH	ABH0	COD	No
ABATPAR  	ABP	SPOOL	SPOOL	No
ABATRQT  	ABR	NUMREQ	NUMREQ	No
ABATRQT  	ABR	PRIO	DAT+HEURE+NUMREQ	No
ABATRQT  	ABR	FLAG	FLAG+NUMREQ	No
ABATRQT  	ABR	FLAG2	FLAG+DAT+HEURE+NUMREQ	No
ABATRQT2  	A11	NUMREQ	NUMREQ	No
ABATRQT2  	A11	PRIO	DAT+HEURE+NUMREQ	No
ABATRQTL  	ABL	NUMREQ	NUMREQ+NUM+PARAM	No
ABATTAC  	ABT	CODTAC	CODTAC	No
ABICOND  	AII	AII0	COD	No
ABICOND  	AII	AII1	ORD+COD	No
ABICOND  	AII	AII2	ABM+CODABF+COD	No
ABIDATMRT  	ABM	ABM0	COD	No
ABIDATMRT  	ABM	ABM1	ABR	Yes
ABIDATWRH  	ABW	ABW0	COD	No
ABIDIM  	ABI	ABI0	CODDIM	No
ABIDIMFLD  	ABJ	ABJ0	CODDIM+NUMDIM+FLDDIM	No
ABIDIMFLD  	ABJ	ABJ1	CODDIM+FLDDIM	No
ABIDIMFLD  	ABJ	DICO	FLDDIM	Yes
ABIHIERA  	AHH	AHH0	COD	No
ABIHIERA  	AHH	AHH1	ABM+COD	No
ABIPRFUSR  	AIU	AIU0	PRF	No
ABIREGDES  	ABY	ABY0	CODREG+NUMDES	No
ABIREGDES  	ABY	ABY1	CODREG+FLDDES	No
ABIREGDES  	ABY	ABY2	CODREG+TABDES+NUMDES	No
ABIREGORG  	ABV	ABV0	CODREG	No
ABIREGORG  	ABV	ABV1	TABORG+CODREG	No
ABIREPORT  	ABO	ABO0	COD	No
ABIREPORT  	ABO	ABO1	REPCOD+COD	No
ABIREPORT  	ABO	ABO2	DATAM+COD	Yes
ABIREPORTD  	ABQ	ABQ0	COD+LIG	No
ABIREPORTID  	ABOID	ABOID0	COD+DATAW+LAN	No
ABITABAGG  	ABE	ABE0	CODABF+NUMAGG+CODAGG	No
ABITABAGG  	ABE	ABE1	CODABF+CODAGG	No
ABITABDAT  	ABF	ABF0	CODABF	No
ABITABFLD  	ABZ	ABZ0	CODABF+NUMFLD+CODFLD	No
ABITABFLD  	ABZ	ABZ1	CODABF+CODFLD	No
ABITABFLD  	ABZ	DICO	CODFLD	Yes
ABITABIND  	ABX	ABX0	CODABF+NUMIND	No
ABITABLNK  	ABK	ABK0	CODABF+NUMLNK	No
ABITRAUNV  	ATV	ATV0	ABM+RAPORT+LANTRA+TEXTE	No
ABITRAUNV  	ATV	ATV1	ABM+RAPORT+LANTRA+TYPERR+TEXTE	No
ABLBSYS  	ASB	ASB0	CAT+CODFIC	No
ABLOB  	ABB	ABB0	CODBLB+IDENT1+IDENT2+IDENT3	No
ACALCUL  	AKL	AKL0	USR+NUM	No
ACCCOD  	ACS	ACS0	CODACC	No
ACCES  	ACC	CODACC	USR+CODACC	Yes
ACCES  	ACC	PRFCOD	PRFCOD+CODACC+USR	No
