Table	Table Abbreviation	 Description
AABREV	AAB	 Abréviation
ABANK	ABN	 Codes de tri bancaires
ABATABT	ABA	 Serveur batch (tâches récurrentes)
ABATABTD	ABD	 Serveur batch (tâches récurrentes)
ABATABTD2	A22	 Serveur batch (tâches récurrentes)
ABATCAL	ABC	 Calendrier du serveur batch
ABATGRP	ABG	 Serveur batch (groupes)
ABATHOR	ABH	 Contraintes horaires
ABATPAR	ABP	 Serveur batch (paramètres)
ABATRQT	ABR	 Serveur batch (requêtes)
ABATRQT2	A11	 Serveur batch (requêtes)
ABATRQTL	ABL	 Serveur batch (requêtes)
ABATTAC	ABT	 Serveur batch (tâches)
ABICOND	AII	 Conditions prédéfinies
ABIDATMRT	ABM	 Datamart
ABIDATWRH	ABW	 Entrepôt de données
ABIDIM	ABI	 Dimensions
ABIDIMFLD	ABJ	 Dimensions (champs)
ABIHIERA	AHH	 Hiérarchies
ABIPRFUSR	AIU	 Profil utilisateur BI
ABIREGDES	ABY	 Règles de synchronisation (dest)
ABIREGORG	ABV	 Règles de synchronisation
ABIREPORT	ABO	 Rapports sur les objets métier
ABIREPORTD	ABQ	 Rapports sur les objets métier
ABIREPORTID	ABOID	 Rapports sur les objets métier
ABITABAGG	ABE	 Table de faits (agrégats)
ABITABDAT	ABF	 Tableaux de faits
ABITABFLD	ABZ	 Table de faits (champs)
ABITABIND	ABX	 Table de faits (index)
ABITABLNK	ABK	 Tableau de faits (liens)
ABITRAUNV	ATV	 Traduction du rapport
ABLBSYS	ASB	 Composants graphiques
ABLOB	ABB	 Dossiers spéciaux
ACALCUL	AKL	 Historique de la calculatrice
ACCCOD	ACS	 Codes d'accès
ACCES	ACC	 Accès par utilisateur
ACHANGE	ACG	 Mise en place du changement de clé
ACLACOL	ACLAC	 Cours (Collections)
ACLAFLD	ACLAF	 Classes (lignes)
ACLALNK	ACLAK	 Cours (tableaux)
ACLAMAP	ACLAKP	 Classes (cartographie)
ACLAMET	ACLAM	 Cours (méthodes)
ACLAMETSTD	ACLAT	 Cours (méthodes standards)
ACLAOPT	ACLAO	 Cours (options)
ACLAPARDEF	ACLPD	 Classes (paramètres)
ACLAPARFLD	ACLFP	 Classes (paramètres)
ACLASSE	ACLA	 Des classes
ACLBSYS	ASA	 Composants graphiques
ACLOB	ACB	 Dossiers spéciaux
ACODIF	ACO	 Codage des sections
ACODNUM	ANM	 Numéros de séquence des documents
ACONSTANT	ACST	 Constantes
ACONSULT	ACN	 Demandes de renseignements
ACONTEXT	ACTX	 Contexte
ACTCODPAR	AAR	 Paramètres des actions
ACTION	ACT	 Dictionnaire d'actions
ACTIV	ACV	 Codes d'activité
ACTL	ACL	 Tableaux de contrôle
ACTLDEV	ACD	 Parenthèses réservées
ACTLSPE	ASPE	 Audit de personnalisation
ACTLSPELINE	ASPEL	 Audit de personnalisation
ACTPAR	ATR	 Paramètres des actions
ADELETE	ADL	 Effacement
ADELIVER	ADLV	 Livrable
ADELIVERB	ADLB	 Livrable
ADELIVERD	ADLD	 Livrable
ADELIVERL	ADLL	 Livrable
ADELIVERO	ADLO	 Livrable
ADELIVERP	ADLP	 Livrable
ADELIVERR	ADLR	 Livrable
ADELIVERT	ADLT	 Livrable
ADICTRT	ADC	 Dictionnaire des processus
ADIMENSION	ADM	 Dimensionnement des éléments
ADOCBLB	ADB	 Documentation (fichiers liés)
ADOCCLB	ADH	 Documentation (textes)
ADOCFLD	ADZ	 Documentation de terrain
ADOCFNC	ADF	 Liens vers la documentation
ADOCUMENT	ADO	 Documentation
ADOPAR	ADP	 Paramètres
ADOSACT	ADA	 Codes d'activité
ADOSDIM	ADE	 Dimensionnement des éléments
ADOSLEG	ADLEG	 Législations
ADOSLIV	ADK	 Livrables
ADOSSIER	ADS	 Tableau des dossiers
ADOSSOL	ADD	 Solution par dossier
ADOVAL	ADW	 Valeurs des paramètres
ADOVALAUS	ADU	 Valeurs des paramètres utilisateur
ADOVALGRP	ADG	 Ensembles de valeurs
ADOVALHIS	AHW	 Valeurs des paramètres
AECLIDBG	AEG	 Éclipse
AECLIRDV	AEC	 Éclipse
AELT	AEL	 Dictionnaire des éléments Web
AELTLINK	AEK	 Liens vers des éléments Web
AENCHAINE	AEN	 Séquence d'import/export
AENTREE	APE	 Points d'entrée
AENUMBDGH	AENUMH	 En-tête de liaison Enum
AENUMBDGL	AENUML	 Lignes de liaison d'énumération
AESPION	AES	 Tracer les transactions du système
AEXPV3	AEV	 Configuration/importation de tableaux
AEXPV3D	AED	 Configuration/importation de tableaux
AFCTCUR	AFU	 Fonction actuelle
AFCTEXE	AFE	 Dernières fonctions exécutées
AFCTFCT	AFT	 Profil de fonction utilisateur
AFCTFCY	AFF	 Fonction de profil de site
AFCTPRF	AFP	 Autorisation fonctionnelle
AFONCTION	AFC	 Dictionnaire de fonctions
AFORDIM	AFO	 Formules de dimensionnement
AGDPRMAI	AGMAI	#VALEUR!
AGDPRPHONE	AGPHO	#VALEUR!
AGDPRSETTING	AGS	 Paramètre RGPD
AGDPRVCR	AGVCR	 Recherche RGPD
AGLOBVAR	AGB	 Variables globales
AGRPCPY	AGC	 Regroupements d'entreprises
AGRPFCY	AGF	 Regroupements de sites
AHISTO	AHI	 Historique/purge
AHISTOD	AHD	 Historique/purge
AINDEX	ANX	 Indice spécifique
AIOBENCH	AIOBE	 Résultats de l'indice de performance
AITRLNK	AIT	 Composants interactifs
AJSAUDIT	AJA	 Audit
AJSCONT	AJC	 Contrat Sdata
AJSEXCEPT	AJE	 Exception
AJSSYNC	AJS	 Synchronisation
ALINK	ALI	 Explorateur de liens
ALISTEC	ALC	 Outil de requête graphique
ALISTED	ALD	 Outil de requête
ALISTEH	ALH	 Outil de requête
ALISTEL	ALL	 Outil de requête graphique
ALISTER	ALR	 Outil de requête
ALISTET	ALT	 Outil de requête graphique
ALNKSUB	ALB	 Liens de lotissement
ALOGIN	ALO	 Tableau de connexion
ALSTRD	ALS	 Derniers enregistrements lus
AMAINT	AMI	 Mise à jour massive de la base de données
AMEMO	AMM	 Note
AMENLOC	AML	 Messages d'en-tête
AMENUSER	AMU	 Menu du profil utilisateur
AMETUTI	AME	 Profil professionnel
AMIGKEY	AMY	 Clés
AMOTCLE	AMC	 Mots clés de l'aide
AMOULIN	AI0	 Processus de migration
AMOULIN1	AI1	 Projet de migration
AMOULIN2	AI2	 Détails du plan de migration
AMSK	AMK	 Dictionnaire d'écran
AMSKACT	AMA	 Table d'affectation action-objet
AMSKPAR	AMP	 Paramètres de l'objet action
AMSKZON	AMZ	 Dictionnaire des champs d'écran
