IMPORTANT :

This document is based on the standard data model of Sage X3 and may contain errors as it is an AI translation from images.
Throughout the document, tables are generally represented in the form XXX - YYYYYYYYYY where XXX is the abbreviated code of the table and YYYYYYYYYY is the actual code of the table in the database.
For fields, sometimes the notation AAAA: BBBBBBBBBB is used, where AAAA indicates the index code and BBBBBBBBBB indicates the field code.

This document, though assisted by AI, bears the mark of Guillaume Clément's passionate dedication, which spanned countless hours.

# COMMON DATA 1 - COMPANY AND SITES

Table | Table name | Primary key | Relation fields | Table linked | Table linked description | Table linked primary key
TCY - TABCOUNTRY | Country table | TCY0 : CPY | CPY | CPY - COMPANY | Company | CPY0 : CPY
CPY - COMPANY | Company | CPY0 : CPY | TCY0 : CPY | TCY - TABCOUNTRY | Country table | TCY0 : CPY
CPY - COMPANY | Company | CPY0 : CPY | BPA0.NUM | FGR - FACGROUP | Site grouping | FGR0 : CPY + FCY
CPY - COMPANY | Company | CPY0 : CPY | FCY0 : CPY | FGR - FACGROUP | Site grouping | FGR0 : CPY + FCY
CPY - COMPANY | Company | CPY0 : CPY | ACC0.COD | CAC - GACCCODE | Accounting codes | CAC0 : TYPE + CAC0.COD
CPY - COMPANY | Company | CPY0 : CPY | PAY.BAN | BAN - BANK | Bank accounts | BAN0 : BAN
CPY - COMPANY | Company | CPY0 : CPY | BPANUM | BPA - BPADDRESS | Addresses | BPA0 : BPATYP + BPANUM + BPADD
FGR - FACGROUP | Site grouping | FGR0 : CPY + FCY | BPANUM | BPA - BPADDRESS | Addresses | BPA0 : BPATYP + BPANUM + BPADD
FGR - FACGROUP | Site grouping | FGR0 : CPY + FCY | CPY0 : CPY | CPY - COMPANY | Company | CPY0 : CPY
FGR - FACGROUP | Site grouping | FGR0 : CPY + FCY | FCY0 : FCY | FCY - FACILITY | Sites | FCY0 : FCY
FCY - FACILITY | Sites | FCY0 : FCY | BPA.NUM | BPA - BPADDRESS | Addresses | BPA0 : BPATYP + BPANUM + BPADD
FCY - FACILITY | Sites | FCY0 : FCY | CPY0.FC.Y | FGR - FACGROUP | Site grouping | FGR0 : CPY + FCY
